                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "12.2.0"                  "aarch64-macos-22.10.1"                                 "CRMATH"                               "20250501"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      677                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3252700509175644E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3252700509175644E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106719412285E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106719412285E+000                 -5.4878106719541933E+000                 -1.6012816191089886E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778670655381038E+000                  5.7570559871874805E-001                  4.5477182914766234E-001                  3.6746520046860462E+000                  0.0000000000000000E+000                  1.4433664296673003E+001                 -2.7319335794317939E-001                  6.5813749660899585E+000                  6.2123933250042374E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861345E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       2                                      678                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.2846496570631588E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.2846496570631588E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106719220208E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106719220208E+000                 -5.4878106719349864E+000                 -1.6012816191028961E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778662761478373E+000                  5.7570246413545889E-001                  4.5477184063655174E-001                  3.6746519817082675E+000                  0.0000000000000000E+000                  1.4433664296680918E+001                 -2.7319335793704180E-001                  6.5813749660917367E+000                  6.2123933250042274E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861349E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       3                                      678                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.2982154751322151E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.2982154751322151E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106718986723E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.4878106718986723E+000                 -5.4878106719116380E+000                 -1.6012816190954702E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778673386869301E+000                  5.7570671524818284E-001                  4.5477184111472857E-001                  3.6746519807519138E+000                  0.0000000000000000E+000                  1.4433664296690509E+001                 -2.7319335792961630E-001                  6.5813749660939038E+000                  6.2123933250042185E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861345E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       4                                      678                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3157683793318784E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3157683793318784E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106718703323E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.4878106718703323E+000                 -5.4878106718832971E+000                 -1.6012816190864473E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778674139626806E+000                  5.7570701606248231E-001                  4.5477184097037726E-001                  3.6746519810406166E+000                  0.0000000000000000E+000                  1.4433664296702114E+001                 -2.7319335792064536E-001                  6.5813749660965382E+000                  6.2123933250042040E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861349E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       5                                      678                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3388396603425593E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3388396603425593E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106718360016E+000                 -9.8999999999999986E+001                 -2.0896008437422999E+001                 -5.4878106718360016E+000                 -5.4878106718489672E+000                 -1.6012816190755025E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778673707324212E+000                  5.7570684256674065E-001                  4.5477184068302456E-001                  3.6746519816153218E+000                  0.0000000000000000E+000                  1.4433664296716145E+001                 -2.7319335790982252E-001                  6.5813749660997445E+000                  6.2123933250041896E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861345E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       6                                      678                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3702436358381436E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3702436358381436E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106717947475E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106717947475E+000                 -5.4878106718077122E+000                 -1.6012816190623386E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778673028644460E+000                  5.7570657046370777E-001                  4.5477184036745960E-001                  3.6746519822464516E+000                  0.0000000000000000E+000                  1.4433664296733003E+001                 -2.7319335789681981E-001                  6.5813749661036063E+000                  6.2123933250041674E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861345E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       7                                      678                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4137332292915255E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4137332292915255E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106717446453E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106717446453E+000                 -5.4878106717576109E+000                 -1.6012816190463361E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778672379904003E+000                  5.7570631036274278E-001                  4.5477184006506816E-001                  3.6746519828512345E+000                  0.0000000000000000E+000                  1.4433664296753410E+001                 -2.7319335788111238E-001                  6.5813749661083056E+000                  6.2123933250041452E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       8                                      678                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106716843131E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.4878106716843131E+000                 -5.4878106716972788E+000                 -1.6012816190270602E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778671828716178E+000                  5.7570608933635836E-001                  4.5477183978944025E-001                  3.6746519834024904E+000                  0.0000000000000000E+000                  1.4433664296777961E+001                 -2.7319335786222709E-001                  6.5813749661139704E+000                  6.2123933250041175E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       9                                      678                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106716119275E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106716119275E+000                 -5.4878106716248922E+000                 -1.6012816190039189E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778671379596020E+000                  5.7570590919725706E-001                  4.5477183954392092E-001                  3.6746519838935292E+000                  0.0000000000000000E+000                  1.4433664296807430E+001                 -2.7319335783955573E-001                  6.5813749661207765E+000                  6.2123933250040830E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
